Parameter,Rating
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,2.78
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,4.11
Well versed with the subject,3.22
Well versed with the subject,3.22
Well versed with the subject,4.56
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.56
Well versed with the subject,3.67
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,5.0
Well versed with the subject,3.22
Well versed with the subject,3.67
Well versed with the subject,3.22
Well versed with the subject,4.11
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,2.78
Well versed with the subject,5.0
Well versed with the subject,4.11
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,2.78
Well versed with the subject,3.22
Well versed with the subject,5.0
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,5.0
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,4.11
Well versed with the subject,3.67
Well versed with the subject,4.56
Well versed with the subject,5.0
Well versed with the subject,2.78
Well versed with the subject,3.67
Well versed with the subject,2.78
Well versed with the subject,4.56
Well versed with the subject,4.11
Well versed with the subject,4.56
Well versed with the subject,4.11
