Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
0,340,2.78,1.44,3.67,3.22,4.56,1.44,1.0,4.11
1,253,3.22,2.78,4.11,3.22,1.44,1.0,1.44,4.56
2,680,3.67,3.67,3.22,2.78,2.33,1.44,1.89,1.0
3,806,4.56,3.22,3.67,1.0,2.78,4.56,2.33,3.22
4,632,4.11,5.0,4.11,2.33,3.22,3.22,4.56,4.56
5,832,3.67,1.44,3.67,4.11,1.89,2.78,1.0,2.33
6,772,4.56,1.89,2.78,1.44,5.0,1.89,4.11,1.0
7,961,4.56,4.11,3.67,2.33,2.33,1.89,1.89,5.0
8,814,3.22,2.78,4.11,3.22,2.33,2.33,3.67,4.56
9,863,2.78,4.56,2.33,3.67,4.56,2.33,2.33,2.78
10,576,5.0,1.89,4.11,3.22,3.22,1.89,3.22,4.56
11,702,4.11,2.33,3.67,1.0,1.44,1.0,4.11,4.11
12,541,2.78,2.33,2.33,1.44,1.44,3.67,4.11,1.0
13,552,2.78,3.22,3.67,1.44,3.67,2.33,2.33,1.44
14,510,3.22,3.67,4.11,1.89,2.33,3.67,3.67,3.22
15,159,3.67,3.67,3.22,3.22,1.89,4.56,1.89,1.0
16,223,4.56,5.0,2.33,2.78,3.67,5.0,5.0,3.22
17,807,4.11,1.89,2.33,1.44,1.44,2.33,3.22,1.0
18,525,4.56,4.56,2.33,1.89,2.78,2.78,4.56,1.44
19,799,2.78,3.22,2.78,2.33,1.44,1.0,1.0,3.67
20,24,4.56,5.0,3.22,5.0,1.44,5.0,1.0,4.56
21,509,4.11,1.44,3.67,2.78,1.44,1.89,2.33,2.33
22,797,4.56,5.0,2.33,5.0,4.56,1.44,5.0,3.67
23,418,4.11,4.11,3.22,3.67,4.56,2.78,1.44,4.11
24,48,2.78,2.78,2.33,1.44,1.0,5.0,5.0,4.56
25,657,4.56,2.78,3.67,1.89,1.44,4.11,5.0,3.22
26,864,4.56,4.11,2.78,1.44,1.89,4.56,1.44,4.11
27,861,2.78,3.22,2.33,2.78,2.33,2.33,3.22,3.22
28,118,4.56,5.0,3.67,3.67,2.33,3.22,4.56,1.0
29,387,3.67,1.89,4.11,1.0,3.22,4.11,3.22,4.11
30,282,2.78,3.22,3.67,1.89,4.11,1.0,1.0,4.56
31,503,4.11,3.22,3.22,1.89,1.89,3.22,2.33,5.0
32,934,2.78,3.22,2.33,3.22,5.0,1.89,2.33,5.0
