Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance,Avg_rating,Overall Sentiment
1,340,2.78,1.44,3.67,3.22,4.56,1.44,1,4.11,2.7775,Neutral
2,253,3.22,2.78,4.11,3.22,1.44,1,1.44,4.56,2.72125,Neutral
3,680,3.67,3.67,3.22,2.78,2.33,1.44,1.89,1,2.5,Neutral
4,806,4.56,3.22,3.67,1,2.78,4.56,2.33,3.22,3.1675,Negative
5,632,4.11,5,4.11,2.33,3.22,3.22,4.56,4.56,3.88875,Negative
6,832,3.67,1.44,3.67,4.11,1.89,2.78,1,2.33,2.61125,Neutral
7,772,4.56,1.89,2.78,1.44,5,1.89,4.11,1,2.83375,Neutral
8,961,4.56,4.11,3.67,2.33,2.33,1.89,1.89,5,3.2225,Negative
9,814,3.22,2.78,4.11,3.22,2.33,2.33,3.67,4.56,3.2775,Negative
10,863,2.78,4.56,2.33,3.67,4.56,2.33,2.33,2.78,3.1675,Negative
11,576,5,1.89,4.11,3.22,3.22,1.89,3.22,4.56,3.38875,Negative
12,702,4.11,2.33,3.67,1,1.44,1,4.11,4.11,2.72125,Neutral
13,541,2.78,2.33,2.33,1.44,1.44,3.67,4.11,1,2.3875,Neutral
14,552,2.78,3.22,3.67,1.44,3.67,2.33,2.33,1.44,2.61,Neutral
15,510,3.22,3.67,4.11,1.89,2.33,3.67,3.67,3.22,3.2225,Negative
16,159,3.67,3.67,3.22,3.22,1.89,4.56,1.89,1,2.89,Neutral
17,223,4.56,5,2.33,2.78,3.67,5,5,3.22,3.945,Negative
18,807,4.11,1.89,2.33,1.44,1.44,2.33,3.22,1,2.22,Neutral
19,525,4.56,4.56,2.33,1.89,2.78,2.78,4.56,1.44,3.1125,Negative
20,799,2.78,3.22,2.78,2.33,1.44,1,1,3.67,2.2775,Neutral
21,24,4.56,5,3.22,5,1.44,5,1,4.56,3.7225,Negative
22,509,4.11,1.44,3.67,2.78,1.44,1.89,2.33,2.33,2.49875,Neutral
23,797,4.56,5,2.33,5,4.56,1.44,5,3.67,3.945,Negative
24,418,4.11,4.11,3.22,3.67,4.56,2.78,1.44,4.11,3.5,Negative
25,48,2.78,2.78,2.33,1.44,1,5,5,4.56,3.11125,Negative
26,657,4.56,2.78,3.67,1.89,1.44,4.11,5,3.22,3.33375,Negative
27,864,4.56,4.11,2.78,1.44,1.89,4.56,1.44,4.11,3.11125,Negative
28,861,2.78,3.22,2.33,2.78,2.33,2.33,3.22,3.22,2.77625,Neutral
29,118,4.56,5,3.67,3.67,2.33,3.22,4.56,1,3.50125,Negative
30,387,3.67,1.89,4.11,1,3.22,4.11,3.22,4.11,3.16625,Negative
31,282,2.78,3.22,3.67,1.89,4.11,1,1,4.56,2.77875,Neutral
32,503,4.11,3.22,3.22,1.89,1.89,3.22,2.33,5,3.11,Negative
33,934,2.78,3.22,2.33,3.22,5,1.89,2.33,5,3.22125,Negative
34,781,4.11,1.89,2.33,2.78,1,4.11,5,2.78,3,Negative
35,898,5,5,2.33,1.89,2.78,2.33,1.44,1,2.72125,Neutral
36,474,4.11,1.89,3.67,3.22,2.33,1.89,3.67,3.67,3.05625,Negative
37,704,4.56,4.56,4.11,3.22,4.11,2.33,4.11,2.78,3.7225,Negative
