Idx,Student ID,Well versed with the subject,Explains concepts in an understandable way,Use of presentations,Degree of difficulty of assignments,Solves doubts willingly,Structuring of the course,Provides support for students going above and beyond,Course recommendation based on relevance
0,340,0,0,0,0,0,0,0,0
1,253,0,0,0,0,0,0,0,0
2,680,0,0,0,0,0,0,0,0
3,806,0,0,0,0,0,0,0,0
4,632,0,0,0,0,0,0,0,0
5,832,0,0,0,0,0,0,0,0
6,772,0,0,0,0,0,0,0,0
7,961,0,0,0,0,0,0,0,0
8,814,0,0,0,0,0,0,0,0
9,863,0,0,0,0,0,0,0,0
10,576,0,0,0,0,0,0,0,0
11,702,0,0,0,0,0,0,0,0
12,541,0,0,0,0,0,0,0,0
13,552,0,0,0,0,0,0,0,0
14,510,0,0,0,0,0,0,0,0
15,159,0,0,0,0,0,0,0,0
16,223,0,0,0,0,0,0,0,0
17,807,0,0,0,0,0,0,0,0
18,525,0,0,0,0,0,0,0,0
19,799,0,0,0,0,0,0,0,0
20,24,0,0,0,0,0,0,0,0
21,509,0,0,0,0,0,0,0,0
22,797,0,0,0,0,0,0,0,0
23,418,0,0,0,0,0,0,0,0
24,48,0,0,0,0,0,0,0,0
25,657,0,0,0,0,0,0,0,0
26,864,0,0,0,0,0,0,0,0
27,861,0,0,0,0,0,0,0,0
28,118,0,0,0,0,0,0,0,0
29,387,0,0,0,0,0,0,0,0
30,282,0,0,0,0,0,0,0,0
31,503,0,0,0,0,0,0,0,0
32,934,0,0,0,0,0,0,0,0
33,781,0,0,0,0,0,0,0,0
34,898,0,0,0,0,0,0,0,0
35,474,0,0,0,0,0,0,0,0
36,704,0,0,0,0,0,0,0,0
37,977,0,0,0,0,0,0,0,0
38,454,0,0,0,0,0,0,0,0
39,295,0,0,0,0,0,0,0,0
40,35,0,0,0,0,0,0,0,0
41,304,0,0,0,0,0,0,0,0
42,56,0,0,0,0,0,0,0,0
43,922,0,0,0,0,0,0,0,0
44,569,0,0,0,0,0,0,0,0
45,186,0,0,0,0,0,0,0,0
46,258,0,0,0,0,0,0,0,0
47,560,0,0,0,0,0,0,0,0
48,621,0,0,0,0,0,0,0,0
49,568,0,0,0,0,0,0,0,0
50,393,0,0,0,0,0,0,0,0
51,12,0,0,0,0,0,0,0,0
52,798,0,0,0,0,0,0,0,0
53,740,0,0,0,0,0,0,0,0
54,184,0,0,0,0,0,0,0,0
55,410,0,0,0,0,0,0,0,0
56,480,0,0,0,0,0,0,0,0
57,84,0,0,0,0,0,0,0,0
58,89,0,0,0,0,0,0,0,0
59,763,0,0,0,0,0,0,0,0
60,86,0,0,0,0,0,0,0,0
61,867,0,0,0,0,0,0,0,0
62,248,0,0,0,0,0,0,0,0
63,751,0,0,0,0,0,0,0,0
64,522,0,0,0,0,0,0,0,0
65,696,0,0,0,0,0,0,0,0
66,274,0,0,0,0,0,0,0,0
67,921,0,0,0,0,0,0,0,0
68,957,0,0,0,0,0,0,0,0
69,88,0,0,0,0,0,0,0,0
70,149,0,0,0,0,0,0,0,0
71,737,0,0,0,0,0,0,0,0
72,891,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,0,0
74,868,0,0,0,0,0,0,0,0
75,895,0,0,0,0,0,0,0,0
76,638,0,0,0,0,0,0,0,0
77,707,0,0,0,0,0,0,0,0
78,432,0,0,0,0,0,0,0,0
79,988,0,0,0,0,0,0,0,0
80,742,0,0,0,0,0,0,0,0
81,730,0,0,0,0,0,0,0,0
82,321,0,0,0,0,0,0,0,0
83,904,0,0,0,0,0,0,0,0
84,171,0,0,0,0,0,0,0,0
85,695,0,0,0,0,0,0,0,0
86,498,0,0,0,0,0,0,0,0
87,446,0,0,0,0,0,0,0,0
88,982,0,0,0,0,0,0,0,0
89,981,0,0,0,0,0,0,0,0
90,849,0,0,0,0,0,0,0,0
91,297,0,0,0,0,0,0,0,0
92,713,0,0,0,0,0,0,0,0
93,192,0,0,0,0,0,0,0,0
94,561,0,0,0,0,0,0,0,0
95,364,0,0,0,0,0,0,0,0
96,40,0,0,0,0,0,0,0,0
97,521,0,0,0,0,0,0,0,0
98,201,0,0,0,0,0,0,0,0
